instance,depth,seed,train_acc,val_acc,test_acc,train_time,num_nodes
balance-scale,2,37,0.7115384615384616,0.6474358974358974,0.6305732484076434,4.434552192687988,5
balance-scale,2,42,0.7564102564102564,0.641025641025641,0.6369426751592357,0.13842105865478516,7
balance-scale,2,53,0.7564102564102564,0.6730769230769231,0.6815286624203822,0.15812301635742188,7
balance-scale,3,37,0.7884615384615384,0.75,0.7197452229299364,0.18502211570739746,13
balance-scale,3,42,0.8269230769230769,0.7435897435897436,0.7006369426751593,0.20038104057312012,15
balance-scale,3,53,0.7724358974358975,0.7115384615384616,0.713375796178344,0.19774889945983887,7
balance-scale,4,37,0.8397435897435898,0.7884615384615384,0.7707006369426752,0.2595338821411133,17
balance-scale,4,42,0.8653846153846154,0.8205128205128205,0.7452229299363058,0.3152499198913574,21
balance-scale,4,53,0.858974358974359,0.7628205128205128,0.7388535031847134,0.2771739959716797,25
balance-scale,5,37,0.8461538461538461,0.782051282051282,0.7643312101910829,0.41465282440185547,19
balance-scale,5,42,0.8461538461538461,0.7756410256410257,0.7261146496815287,0.3748481273651123,13
balance-scale,5,53,0.9006410256410257,0.8076923076923077,0.7643312101910829,0.4548759460449219,43
breast-cancer,2,37,0.7753623188405797,0.7101449275362319,0.6857142857142857,0.11659693717956543,3
breast-cancer,2,42,0.7898550724637681,0.6521739130434783,0.6857142857142857,0.12389183044433594,3
breast-cancer,2,53,0.7101449275362319,0.7101449275362319,0.7,0.11753702163696289,1
breast-cancer,3,37,0.7753623188405797,0.7101449275362319,0.6857142857142857,0.16873812675476074,3
breast-cancer,3,42,0.8333333333333334,0.7681159420289855,0.6714285714285715,0.1568129062652588,7
breast-cancer,3,53,0.7101449275362319,0.7101449275362319,0.7,0.1584019660949707,1
breast-cancer,4,37,0.8043478260869565,0.7681159420289855,0.7285714285714286,0.23581981658935547,5
breast-cancer,4,42,0.8333333333333334,0.7681159420289855,0.6714285714285715,0.21085000038146973,7
breast-cancer,4,53,0.7101449275362319,0.7101449275362319,0.7,0.20591211318969727,1
breast-cancer,5,37,0.8043478260869565,0.7681159420289855,0.7285714285714286,0.266171932220459,5
breast-cancer,5,42,0.8333333333333334,0.7681159420289855,0.6714285714285715,0.24468088150024414,7
breast-cancer,5,53,0.7681159420289855,0.7681159420289855,0.8,0.23429179191589355,5
car-evaluation,2,37,0.7740440324449595,0.775462962962963,0.7875288683602771,0.21619367599487305,5
car-evaluation,2,42,0.7879490150637312,0.7731481481481481,0.7621247113163973,0.19868183135986328,5
car-evaluation,2,53,0.7925840092699884,0.7731481481481481,0.7528868360277137,0.2134559154510498,5
car-evaluation,3,37,0.8227114716106605,0.8009259259259259,0.8083140877598153,0.3068091869354248,9
car-evaluation,3,42,0.8238702201622248,0.837962962962963,0.7829099307159353,0.3088541030883789,11
car-evaluation,3,53,0.831981460023175,0.7939814814814815,0.7875288683602771,0.3578019142150879,9
car-evaluation,4,37,0.8586326767091541,0.8634259259259259,0.8498845265588915,0.48693299293518066,13
car-evaluation,4,42,0.8713789107763615,0.8657407407407407,0.8406466512702079,0.4834890365600586,11
car-evaluation,4,53,0.8621089223638471,0.8680555555555556,0.8568129330254042,0.4959728717803955,11
car-evaluation,5,37,0.8910776361529548,0.9050925925925926,0.8660508083140878,0.707813024520874,19
car-evaluation,5,42,0.9015063731170336,0.8819444444444444,0.8822170900692841,0.7515242099761963,21
car-evaluation,5,53,0.9107763615295481,0.8773148148148148,0.8775981524249423,0.7570290565490723,25
hayes-roth,2,37,0.7125,0.525,0.475,0.3161768913269043,5
hayes-roth,2,42,0.6375,0.5,0.75,0.11155891418457031,7
hayes-roth,2,53,0.6125,0.55,0.625,0.11423778533935547,5
hayes-roth,3,37,0.775,0.65,0.55,0.14518284797668457,9
hayes-roth,3,42,0.75,0.725,0.675,0.14328598976135254,13
hayes-roth,3,53,0.725,0.625,0.65,0.1614546775817871,13
hayes-roth,4,37,0.8,0.7,0.575,0.1975390911102295,9
hayes-roth,4,42,0.7875,0.625,0.875,0.1657428741455078,13
hayes-roth,4,53,0.8375,0.8,0.9,0.17110300064086914,19
hayes-roth,5,37,0.9125,0.775,0.85,0.21460986137390137,23
hayes-roth,5,42,0.9,0.775,0.925,0.23381400108337402,19
hayes-roth,5,53,0.875,0.85,0.9,0.2045731544494629,19
house-votes-84,2,37,0.9568965517241379,0.9827586206896551,0.9827586206896551,0.1388239860534668,3
house-votes-84,2,42,0.9827586206896551,0.9310344827586207,0.9827586206896551,0.14938902854919434,3
house-votes-84,2,53,0.9568965517241379,0.9655172413793104,1.0,0.18923616409301758,3
house-votes-84,3,37,0.9568965517241379,0.9827586206896551,0.9827586206896551,0.21125221252441406,3
house-votes-84,3,42,0.9827586206896551,0.9310344827586207,0.9827586206896551,0.1861410140991211,3
house-votes-84,3,53,0.9741379310344828,0.9655172413793104,0.9827586206896551,0.2104640007019043,7
house-votes-84,4,37,0.9568965517241379,0.9827586206896551,0.9827586206896551,0.1780998706817627,3
house-votes-84,4,42,1.0,0.9310344827586207,0.9655172413793104,0.15208768844604492,9
house-votes-84,4,53,0.9568965517241379,0.9655172413793104,1.0,0.17988991737365723,3
house-votes-84,5,37,0.9568965517241379,0.9827586206896551,0.9827586206896551,0.18869709968566895,3
house-votes-84,5,42,0.9827586206896551,0.9310344827586207,0.9827586206896551,0.16667389869689941,3
house-votes-84,5,53,0.9568965517241379,0.9655172413793104,1.0,0.21149373054504395,3
