instance,depth,seed,train_acc,val_acc,test_acc,train_time
balance-scale,2,37,0.7275641025641025,0.6089743589743589,0.6751592356687898,0.016031980514526367
balance-scale,2,42,0.6730769230769231,0.6217948717948718,0.5796178343949044,0.0008959770202636719
balance-scale,2,53,0.6923076923076923,0.6217948717948718,0.6305732484076433,0.0011630058288574219
balance-scale,3,37,0.782051282051282,0.6666666666666666,0.7515923566878981,0.0006649494171142578
balance-scale,3,42,0.8044871794871795,0.6794871794871795,0.6942675159235668,0.0006170272827148438
balance-scale,3,53,0.8012820512820513,0.6923076923076923,0.7133757961783439,0.0007159709930419922
balance-scale,4,37,0.8365384615384616,0.7756410256410257,0.7643312101910829,0.0006899833679199219
balance-scale,4,42,0.8301282051282052,0.782051282051282,0.7452229299363057,0.0009877681732177734
balance-scale,4,53,0.842948717948718,0.7756410256410257,0.802547770700637,0.0007030963897705078
balance-scale,5,37,0.875,0.7948717948717948,0.7834394904458599,0.001416921615600586
balance-scale,5,42,0.8685897435897436,0.7564102564102564,0.7388535031847133,0.0013060569763183594
balance-scale,5,53,0.8814102564102564,0.7756410256410257,0.7898089171974523,0.0010938644409179688
breast-cancer,2,37,0.7753623188405797,0.8260869565217391,0.7285714285714285,0.0007140636444091797
breast-cancer,2,42,0.7898550724637681,0.6811594202898551,0.7285714285714285,0.0017461776733398438
breast-cancer,2,53,0.7971014492753623,0.7971014492753623,0.6714285714285714,0.0007359981536865234
breast-cancer,3,37,0.7971014492753623,0.782608695652174,0.7428571428571429,0.0009181499481201172
breast-cancer,3,42,0.8260869565217391,0.6956521739130435,0.7285714285714285,0.00078582763671875
breast-cancer,3,53,0.8405797101449275,0.6811594202898551,0.7142857142857143,0.0006968975067138672
breast-cancer,4,37,0.8260869565217391,0.7681159420289855,0.7142857142857143,0.001065969467163086
breast-cancer,4,42,0.8695652173913043,0.7101449275362319,0.7428571428571429,0.0006380081176757812
breast-cancer,4,53,0.855072463768116,0.6956521739130435,0.7,0.00078582763671875
breast-cancer,5,37,0.8623188405797102,0.7391304347826086,0.6714285714285714,0.0007359981536865234
breast-cancer,5,42,0.9057971014492754,0.7246376811594203,0.7428571428571429,0.0009260177612304688
breast-cancer,5,53,0.8840579710144928,0.6666666666666666,0.6571428571428571,0.0011818408966064453
car-evaluation,2,37,0.7951388888888888,0.7662037037037037,0.7546296296296297,0.0008325576782226562
car-evaluation,2,42,0.7488425925925926,0.8240740740740741,0.7893518518518519,0.0012133121490478516
car-evaluation,2,53,0.7743055555555556,0.7847222222222222,0.7777777777777778,0.0008180141448974609
car-evaluation,3,37,0.7951388888888888,0.7662037037037037,0.7546296296296297,0.0009200572967529297
car-evaluation,3,42,0.7835648148148148,0.7939814814814815,0.8055555555555556,0.0007078647613525391
car-evaluation,3,53,0.8020833333333334,0.7893518518518519,0.7569444444444444,0.0006830692291259766
car-evaluation,4,37,0.8495370370370371,0.8240740740740741,0.8240740740740741,0.0011839866638183594
car-evaluation,4,42,0.8599537037037037,0.8819444444444444,0.8472222222222222,0.0007476806640625
car-evaluation,4,53,0.8368055555555556,0.8356481481481481,0.8379629629629629,0.0009827613830566406
car-evaluation,5,37,0.875,0.8703703703703703,0.8425925925925926,0.0010251998901367188
car-evaluation,5,42,0.8692129629629629,0.8680555555555556,0.8564814814814815,0.0008089542388916016
car-evaluation,5,53,0.8680555555555556,0.8564814814814815,0.8032407407407407,0.0008089542388916016
hayes-roth,2,37,0.625,0.4,0.55,0.0008587837219238281
hayes-roth,2,42,0.5625,0.575,0.475,0.0008711814880371094
hayes-roth,2,53,0.5625,0.525,0.55,0.0008108615875244141
hayes-roth,3,37,0.675,0.425,0.625,0.0008590221405029297
hayes-roth,3,42,0.7125,0.6,0.6,0.0012879371643066406
hayes-roth,3,53,0.7,0.675,0.6,0.0007321834564208984
hayes-roth,4,37,0.7375,0.6,0.8,0.0006330013275146484
hayes-roth,4,42,0.775,0.675,0.625,0.0006530284881591797
hayes-roth,4,53,0.7,0.675,0.6,0.0007340908050537109
hayes-roth,5,37,0.7875,0.525,0.775,0.0006372928619384766
hayes-roth,5,42,0.85,0.75,0.825,0.001116037368774414
hayes-roth,5,53,0.8875,0.8,0.8,0.0006158351898193359
house-votes-84,2,37,0.9741379310344828,0.9482758620689655,0.9827586206896551,0.0009169578552246094
house-votes-84,2,42,0.9655172413793104,0.9827586206896551,0.9655172413793104,0.0005550384521484375
house-votes-84,2,53,0.9741379310344828,0.9655172413793104,0.9655172413793104,0.0009241104125976562
house-votes-84,3,37,0.9741379310344828,0.9482758620689655,0.9827586206896551,0.0009510517120361328
house-votes-84,3,42,0.9827586206896551,0.896551724137931,0.9655172413793104,0.0006527900695800781
house-votes-84,3,53,0.9741379310344828,0.9655172413793104,0.9655172413793104,0.0008180141448974609
house-votes-84,4,37,1.0,0.9482758620689655,0.9482758620689655,0.0007081031799316406
house-votes-84,4,42,0.9827586206896551,0.896551724137931,0.9655172413793104,0.0005972385406494141
house-votes-84,4,53,0.9827586206896551,0.9655172413793104,0.9655172413793104,0.0006411075592041016
house-votes-84,5,37,1.0,0.9655172413793104,0.9827586206896551,0.0006091594696044922
house-votes-84,5,42,0.9913793103448276,0.896551724137931,0.9655172413793104,0.001950979232788086
house-votes-84,5,53,0.9913793103448276,0.9310344827586207,0.9655172413793104,0.0006568431854248047
soybean-small,2,37,0.9130434782608695,0.4166666666666667,0.8333333333333334,0.0006921291351318359
soybean-small,2,42,0.8260869565217391,0.6666666666666666,0.75,0.0005340576171875
soybean-small,2,53,0.8260869565217391,0.8333333333333334,0.6666666666666666,0.0007131099700927734
soybean-small,3,37,1.0,0.9166666666666666,1.0,0.0006568431854248047
soybean-small,3,42,1.0,1.0,1.0,0.0009551048278808594
soybean-small,3,53,1.0,1.0,1.0,0.0009992122650146484
soybean-small,4,37,1.0,1.0,1.0,0.001209259033203125
soybean-small,4,42,1.0,1.0,0.9166666666666666,0.0013518333435058594
soybean-small,4,53,1.0,1.0,1.0,0.0011889934539794922
soybean-small,5,37,1.0,0.9166666666666666,1.0,0.004188060760498047
soybean-small,5,42,1.0,1.0,0.9166666666666666,0.0006878376007080078
soybean-small,5,53,1.0,1.0,1.0,0.0005850791931152344
spect,2,37,0.7894736842105263,0.7611940298507462,0.835820895522388,0.000843048095703125
spect,2,42,0.8571428571428571,0.7014925373134329,0.7014925373134329,0.0009272098541259766
spect,2,53,0.8120300751879699,0.746268656716418,0.8059701492537313,0.0012519359588623047
spect,3,37,0.7894736842105263,0.7761194029850746,0.8805970149253731,0.0007710456848144531
