instance,depth,seed,train_acc,val_acc,test_acc,train_time
balance-scale,2,37,0.726027397260274,,0.6951871657754011,5.985475063323975
balance-scale,2,42,0.7397260273972603,,0.6631016042780749,0.20788812637329102
balance-scale,2,53,0.7351598173515982,,0.6737967914438503,0.21602606773376465
balance-scale,3,37,0.7557077625570776,,0.7433155080213903,0.33968210220336914
balance-scale,3,42,0.7990867579908676,,0.7165775401069518,0.3897871971130371
balance-scale,3,53,0.7831050228310502,,0.7112299465240641,0.3557119369506836
balance-scale,4,37,0.8242009132420092,,0.8181818181818181,0.5465390682220459
balance-scale,4,42,0.8470319634703196,,0.7486631016042781,1.1829557418823242
balance-scale,4,53,0.8401826484018264,,0.7967914438502673,0.5709209442138672
balance-scale,5,37,0.8584474885844748,,0.8181818181818181,0.8894248008728027
balance-scale,5,42,0.8721461187214612,,0.7647058823529411,0.7929239273071289
balance-scale,5,53,0.8515981735159818,,0.7807486631016043,0.722714900970459
breast-cancer,2,37,0.7783505154639175,,0.7349397590361446,0.20736384391784668
breast-cancer,2,42,0.7938144329896908,,0.7349397590361446,0.18841886520385742
breast-cancer,2,53,0.7835051546391752,,0.7590361445783133,0.19800281524658203
breast-cancer,3,37,0.8350515463917526,,0.6746987951807228,0.2778208255767822
breast-cancer,3,42,0.7938144329896908,,0.7349397590361446,0.278043270111084
breast-cancer,3,53,0.7835051546391752,,0.7590361445783133,0.2509181499481201
breast-cancer,4,37,0.8711340206185567,,0.6987951807228916,0.4081611633300781
breast-cancer,4,42,0.768041237113402,,0.6385542168674698,0.33840417861938477
breast-cancer,4,53,0.7835051546391752,,0.7590361445783133,0.31502532958984375
breast-cancer,5,37,0.8195876288659794,,0.6626506024096386,0.46024084091186523
breast-cancer,5,42,0.8608247422680413,,0.6987951807228916,0.5058910846710205
breast-cancer,5,53,0.7835051546391752,,0.7590361445783133,0.5722990036010742
car-evaluation,2,37,0.775206611570248,,0.7837837837837838,0.5248799324035645
car-evaluation,2,42,0.7735537190082644,,0.7876447876447876,0.4075300693511963
car-evaluation,2,53,0.7834710743801653,,0.7644787644787645,0.36069798469543457
car-evaluation,3,37,0.8190082644628099,,0.8011583011583012,0.5390768051147461
car-evaluation,3,42,0.8165289256198347,,0.8185328185328186,0.5638327598571777
car-evaluation,3,53,0.8231404958677686,,0.7837837837837838,0.5187182426452637
car-evaluation,4,37,0.8512396694214877,,0.888030888030888,0.915184736251831
car-evaluation,4,42,0.8652892561983471,,0.8552123552123552,0.8834059238433838
car-evaluation,4,53,0.8603305785123967,,0.8667953667953667,0.8404288291931152
car-evaluation,5,37,0.8892561983471075,,0.8822393822393823,1.239020824432373
car-evaluation,5,42,0.8892561983471075,,0.8667953667953667,1.1606552600860596
car-evaluation,5,53,0.903305785123967,,0.8725868725868726,1.1861848831176758
hayes-roth,2,37,0.663716814159292,,0.46808510638297873,0.4180610179901123
hayes-roth,2,42,0.6283185840707964,,0.5319148936170213,0.1637260913848877
hayes-roth,2,53,0.663716814159292,,0.5531914893617021,0.16978096961975098
hayes-roth,3,37,0.7876106194690266,,0.5957446808510638,0.2080707550048828
hayes-roth,3,42,0.7610619469026548,,0.6595744680851063,0.20939898490905762
hayes-roth,3,53,0.7345132743362832,,0.7021276595744681,0.2378239631652832
hayes-roth,4,37,0.831858407079646,,0.7446808510638299,0.2408771514892578
hayes-roth,4,42,0.831858407079646,,0.7446808510638299,0.2531766891479492
hayes-roth,4,53,0.8849557522123894,,0.7446808510638299,0.26726794242858887
hayes-roth,5,37,0.8849557522123894,,0.8297872340425532,0.3055281639099121
hayes-roth,5,42,0.8849557522123894,,0.7872340425531915,0.35476183891296387
hayes-roth,5,53,0.8938053097345133,,0.8085106382978724,0.32739901542663574
house-votes-84,2,37,0.9631901840490797,,0.9855072463768116,0.2126002311706543
house-votes-84,2,42,0.9693251533742331,,0.9710144927536232,0.21924710273742676
house-votes-84,2,53,0.9693251533742331,,0.9710144927536232,0.22520089149475098
house-votes-84,3,37,0.9631901840490797,,0.9855072463768116,0.26938605308532715
house-votes-84,3,42,0.9693251533742331,,0.9710144927536232,0.2633402347564697
house-votes-84,3,53,0.9693251533742331,,0.9710144927536232,0.29160594940185547
